num;Tamaina;k;Eraikitzailea;ILS;ILS time;ILS originala;ILS time originala
26;50;5;0.0025485505041872134;0.04121555368648139;9.431342601776123;0.04083944193531865;9.301447629928589
27;50;5;0.01811044418211584;0.04048523661100789;9.469079971313477;0.03961329911405473;9.364841222763062
28;50;5;0.009490728027699596;0.04096594383685821;9.378151416778564;0.0401763868465174;9.401531457901001
29;50;5;0.004029856917093123;0.041091828655951235;9.379370927810669;0.0387015597993001;9.09563136100769
30;50;5;0.009652403628691618;0.039826501099332376;9.786586284637451;0.040276662744079254;9.448096990585327
31;50;5;0.008794659028008755;0.04174315917826834;9.427204608917236;0.04014090460584167;9.4162757396698
32;50;5;0.025014979676389625;0.04024642570419906;9.37198519706726;0.038224246526905724;9.161506652832031
33;50;5;0.011948258871022983;0.04005019348620112;10.473667621612549;0.03946026266731419;10.314171552658081
34;50;5;0.011094216765019324;0.04103968518921907;10.0862717628479;0.03891784719681042;11.503297567367554
35;50;5;0.030452093112804526;0.04175889478065496;10.374459266662598;0.03991443534796354;10.410840034484863
36;50;5;0.02994639404786955;0.040889425613487934;10.87291955947876;0.03802801430890777;10.453165769577026
37;50;5;0.011216399089433143;0.040345158895644564;10.161075592041016;0.04086412523318003;10.031703233718872
38;50;5;0.01570474826430135;0.04004124579072636;9.845492601394653;0.041175134786233386;9.713852167129517
39;50;5;0.02907383946846986;0.04115847356017696;9.686992645263672;0.0396126820316082;9.551239252090454
40;50;5;0.016517137305163933;0.03997984608729619;9.771213054656982;0.04041118671742375;10.116941928863525
41;50;5;0.018081441307128722;0.04006500346491794;9.96081805229187;0.039989719406440735;10.364585161209106
42;50;5;0.01175974018360671;0.03951302321649289;9.803257942199707;0.039805520296150206;9.914215564727783
43;50;5;0.007207831516745458;0.040749656439347894;10.162308692932129;0.04028067377998173;9.959802627563477
44;50;5;0.007264603101826627;0.039683337971736385;10.146496534347534;0.0375016429820139;9.959021091461182
45;50;5;0.029800145508040894;0.04188601376464106;10.163838863372803;0.03896875649864952;9.83723258972168
