;Tamaina;Gamma;Beta;Erakitzailea;ILS;ILS time
112;200;0.5;0.3;0.058807031531061774;0.20815795335967452;20.898490619659423
113;200;0.5;0.4;0.06511620588091913;0.2086249613552118;21.026492881774903
114;200;0.5;0.5;0.058878736511349075;0.21061387978863694;20.92599196434021
115;200;0.5;0.6;0.03963193500394007;0.20177306299362735;20.89926619529724
116;200;0.5;0.7;0.034356929126229764;0.20670126853638532;20.913005971908568
117;200;0.5;0.8;0.09034173408806631;0.20882069990725247;21.117562580108643
118;200;0.5;0.9;0.06280091254152195;0.20677062860337586;21.333409070968628
119;200;0.6;0.3;0.07584251809131462;0.21119190091630574;21.365330076217653
120;200;0.6;0.4;0.07366211897472986;0.20749458972965001;21.117683029174806
121;200;0.6;0.5;0.08097948262573516;0.20733007554940394;21.176221990585326
122;200;0.6;0.6;0.0761610560502157;0.21075408092048953;20.9663969039917
123;200;0.6;0.7;-0.00033964217857255266;0.20523563601762143;20.995708847045897
124;200;0.6;0.8;0.08224468676586473;0.21011157467715788;21.22302050590515
125;200;0.6;0.9;0.04486966910187969;0.2025147343861171;21.239176177978514
126;200;0.7;0.3;0.05987495441303427;0.20789686577654581;21.190433263778687
127;200;0.7;0.4;0.05783179443255876;0.20555886380311614;21.010813570022584
128;200;0.7;0.5;0.029853152890198197;0.2078052907414801;20.89944496154785
129;200;0.7;0.6;0.07835885689179274;0.20813043148255908;21.018928432464598
130;200;0.7;0.7;0.054610500645159696;0.20606474799278507;20.938260221481322
131;200;0.7;0.8;0.046780526605818225;0.20823329912639638;20.975115728378295
132;200;0.7;0.9;0.12664537320837824;0.2121585605688019;21.232862043380738
133;200;0.8;0.3;0.02938552781221441;0.20607239981512207;21.329365825653078
134;200;0.8;0.4;0.06968057961320037;0.20666837804198507;21.01070604324341
135;200;0.8;0.5;0.020661401307844534;0.20149013069189134;21.067187452316283
136;200;0.8;0.6;0.054585632222564365;0.20994249408680746;21.29081711769104
137;200;0.8;0.7;0.06359096319781997;0.20772420610800543;21.300366353988647
138;200;0.8;0.8;0.10592979206172799;0.2137158915391209;21.397323322296142
139;200;0.8;0.9;0.028141551308245645;0.2043198856669643;21.281302070617677
140;200;0.9;0.3;0.022878393413508794;0.20565852261823148;21.03633828163147
141;200;0.9;0.4;0.04345334147059386;0.2050928431394933;21.14888939857483
142;200;0.9;0.5;0.05668241666764372;0.20815573186286698;20.97951650619507
143;200;0.9;0.6;0.04677194915981139;0.20646116175643883;20.966108417510988
144;200;0.9;0.7;0.04425301861305784;0.20182532987684887;21.034810972213744
145;200;0.9;0.8;0.05555229187506054;0.20515128084718012;21.010382890701294
146;200;0.9;0.9;0.046758496762476946;0.20599162372287072;20.983323764801025
