num,Tamaina,k,Eraikitzailea,ILS,ILS time,ILS originala,ILS time originala
63,100,5,0.037714999237903175,0.06911215411757518,12.58397626876831,0.06842719260192197,13.049295663833618
64,100,5,0.005454546015529497,0.06775611544131577,12.489121913909912,0.06366331611467614,12.461034297943115
65,100,5,0.032952356915550415,0.06757716153182078,12.814966440200806,0.0651430798214657,12.595265626907349
66,100,5,-0.0036202684432058907,0.0673445214494773,14.966327905654907,0.06656699756684392,13.134565353393555
67,100,5,0.009368082891450878,0.06716772732854519,13.042954683303833,0.06802547192922805,12.909062147140503
68,100,5,0.010024658614563515,0.06881502891956885,13.151459455490112,0.06788971379099047,12.59941577911377
69,100,5,0.02982991973608618,0.06664073891920479,13.039209604263306,0.06828588072166558,12.553712129592896
70,100,5,0.007946016393412277,0.06804398440262409,13.074755430221558,0.06567778176138779,12.728973150253296
71,100,5,0.017404347592668814,0.06733002001198374,12.855932474136353,0.06823188600759382,12.570404767990112
72,100,5,0.015578400633373422,0.0666339510122929,12.54361081123352,0.06473148582962725,12.110188245773315
73,100,5,0.025941066158026174,0.0664278454751504,12.217406749725342,0.06560835998615266,12.35395359992981
74,100,5,0.014717262079234619,0.0682988394530428,12.516991138458252,0.0666037139724127,12.507925987243652
75,100,5,0.002279039745663299,0.06785947675111029,12.4966402053833,0.06730718796146197,12.74578309059143
76,100,5,0.0029420948344645484,0.06867217433319614,12.965027332305908,0.06820997958074185,12.616413593292236
77,100,5,0.0052762091884810455,0.0669718036517705,13.303738594055176,0.0680316427536934,13.336171865463257
78,100,5,0.0037427593088429764,0.06886562968018468,12.740830659866333,0.06475030684424654,14.168519735336304
79,100,5,0.01633586933649444,0.06909055623194647,12.866305351257324,0.06763701852913462,12.540873527526855
80,100,5,0.007810566796397966,0.06786657319924544,12.80875563621521,0.06526063402753052,13.350194692611694
81,100,5,-0.0002627228516120354,0.06723128682053824,12.528562068939209,0.06733557375400255,12.371696472167969
82,100,5,0.00465604132971394,0.06828618926288885,12.484266519546509,0.06622544243268712,12.683153867721558
83,100,5,0.002973257498014538,0.06852037205134867,12.458802938461304,0.06624580615342274,12.78793215751648
84,100,5,0.025075299485538365,0.06766818119268461,12.435519933700562,0.06484595462345936,12.33121943473816
85,100,5,0.003585403284976699,0.06903872130643758,12.238822937011719,0.06730626233779216,12.403770685195923
86,100,5,0.00921813185694301,0.0672072206051234,13.539994478225708,0.06905353128515442,13.528664588928223
87,100,5,0.015468559957890293,0.06540348861390324,15.843155145645142,0.06531740561261168,12.912570714950562
88,100,5,0.014508071129859447,0.06872123238769563,13.228485345840454,0.06775148732296676,13.393136501312256
89,100,5,0.00059934132619657,0.06567747322016453,16.65952491760254,0.06453062549328029,14.022271394729614
90,100,5,-0.002928519020640791,0.06851852080400907,12.89689016342163,0.06313632770533573,13.23689603805542
91,100,5,0.02666027574946206,0.06739357950397679,12.68739104270935,0.06704276813312196,12.639149904251099
92,100,5,0.01384902707696067,0.06732631751730453,12.328149557113647,0.06731551857449018,13.330082178115845
93,100,5,0.006177766642867853,0.06755155261028961,12.46789002418518,0.06788847962609741,13.323806047439575
94,100,5,0.009234484541776174,0.0688560649022634,12.334255695343018,0.06737444994813421,12.663061380386353
95,100,5,0.02087944739032748,0.06838121995965514,12.498162031173706,0.06325480753507035,12.416370153427124
96,100,5,0.006177766642867854,0.0670245642009492,13.387335538864136,0.06627851152308907,12.665896654129028
97,100,5,0.005227768216428091,0.06788971379099047,12.117095947265625,0.06286758829986998,13.134291410446167
98,100,5,0.0344592722499875,0.06911894202448707,12.464669704437256,0.06503262206353604,12.634285688400269
99,100,5,0.004601120991972376,0.06891962439425645,12.097375392913818,0.06732045523406245,12.059152126312256
